Gene_ID	Status	Uniprot_ID_Insecta	Percent_Identical	E_score	GO_Tag	GO_Category	GO_Name	Species	Manduca_Protein_Name	Manduca_Protein_ID	Insecta_Protein_Name
LOC101741337	Pass:	A0A8R1WH93	100	0	GO:0005856	C	cytoskeleton	Bombyx mori	Ubiquitin carboxyl-terminal hydrolase	NA	NA
LOC101746038	Pass:	A0A6J2KDY3	98.219	0	GO:0003677	F	DNA binding	Bombyx mandarina	Ecdysone-inducible protein E75-like isoform X1	NA	NA
LOC101742309	Pass:	A0A7E5VSS7	76.484	0	GO:0016055	P	Wnt signaling pathway	Trichoplusia ni	Protein naked cuticle homolog	NA	NA
LOC101743647	Pass:	A0A8R2LUY6	99.178	0	GO:0015630	C	microtubule cytoskeleton	Bombyx mori	Kinesin-like protein unc-104	NA	NA
LOC101735722	Pass:	A0A8S1AB43	74.182	0	GO:0010468	P	regulation of gene expression	Arctia plantaginis	BZIP domain-containing protein	NA	NA
LOC105841573	Fail:	A0A8S4S157	99.552	6.63e-147	GO:0006974	P	DNA damage response	Pararge aegeria aegeria	ATP-dependent DNA helicase	NA	NA
LOC101737558	Pass:	A0A8R2QZP1	100	0	GO:0110165	C	cellular anatomical entity	Bombyx mori	BRCT domain-containing protein	NA	NA
LOC119629756	Pass:	A0A6J2KKE1	69.551	0	GO:0003676	F	nucleic acid binding	Bombyx mandarina	115 kDa protein in type-1 retrotransposable element R1DM	NA	NA
LOC119628843	Pass:	A0A8R2LZP4	99.383	0	GO:0016740	F	transferase activity	Bombyx mori	RNA-directed DNA polymerase	NA	NA
LOC101735998	Pass:	A0A8R2R0L3	99.794	0	GO:0016787	F	hydrolase activity	Bombyx mori	Peptidase M28 domain-containing protein	NA	NA
LOC100188972	Pass:	A0A6J2JU03	99.898	0	GO:0003779	F	actin binding	Bombyx mandarina	Myosin heavy chain, muscle isoform X13	NA	NA
Gk-2	Pass:	A0A2A4JXL9	82.008	0	GO:0006072	P	glycerol-3-phosphate metabolic process	Heliothis virescens	glycerol kinase	NA	NA
LOC692777	Fail:	Q45RG0	55.805	3.4899999999999994e-107	GO:0004252	F	serine-type endopeptidase activity	Bombyx mori	Peptidase S1 domain-containing protein	NA	NA
LOC101738805	Pass:	A0A8R2C6Z8	100	0	GO:0004712	F	protein serine/threonine/tyrosine kinase activity	Bombyx mori	dual-specificity kinase	NA	NA
LOC692448	Pass:	A0A7E5WKE7	76.037	0	GO:0008233	F	peptidase activity	Trichoplusia ni	P/Homo B domain-containing protein	NA	NA
LOC101746432	Pass:	A0A8S0Z6V9	92.328	0	GO:0016020	C	membrane	Arctia plantaginis	EGF-like domain-containing protein	NA	NA
NGR-B4	Pass:	B3XXQ2	100	0	GO:0007218	P	neuropeptide signaling pathway	Bombyx mori	Neuropeptide receptor B4	NA	NA
LOC101738901	Pass:	A0A8J9W6R4	85.222	0	GO:0030170	F	pyridoxal phosphate binding	Brenthis ino	Ornithine aminotransferase	NA	NA
LOC101736960	Pass:	A0A8R2CA86	99.827	0	GO:0070161	C	anchoring junction	Bombyx mori	Moesin/ezrin/radixin homolog 1	NA	NA
LOC101740486	Fail:	A0A8R2CA90	99.567	2.2599999999999998e-172	GO:0019843	F	rRNA binding	Bombyx mori	39S ribosomal protein L16, mitochondrial	NA	NA
LOC101738176	Pass:	A0A6J2JU98	99.484	0	GO:0005096	F	GTPase activator activity	Bombyx mandarina	Probable Ras GTPase-activating protein isoform X3	NA	NA
LOC101746106	Pass:	A0A8R2QT35	79.231	0	GO:0004888	F	transmembrane signaling receptor activity	Bombyx mori	G-protein coupled receptors family 2 profile 2 domain-containing protein	NA	NA
LOC101742618	Pass:	A0A8S1B9J0	90.405	0	GO:0006355	P	regulation of DNA-templated transcription	Arctia plantaginis	RNA polymerase-associated protein CTR9 homolog	NA	NA
LOC692894	Fail:	A0A8R2QZG0	42.03	0	GO:0016020	C	membrane	Bombyx mori	Dumpy	NA	NA
LOC101745029	Pass:	A0A8R2HPE2	100	0	GO:0006811	P	monoatomic ion transport	Bombyx mori	BTB domain-containing protein	NA	NA
LOC101737337	Pass:	A0A8R2QZT1	94.97	0	GO:0016020	C	membrane	Bombyx mori	PH-sensitive chloride channel 1	NA	NA
LOC101746721	Pass:	A0A8R1WJ29	100	0	GO:0005576	C	extracellular region	Bombyx mori	Lipase domain-containing protein	NA	NA
LOC119630447	Pass:	A0A6J2K8K1	99.257	0	GO:0006281	P	DNA repair	Bombyx mandarina	ATP-dependent DNA helicase	NA	NA
LOC101744951	Pass:	A0A6J2KPK8	99.623	0	GO:0016020	C	membrane	Bombyx mandarina	Bumetanide-sensitive sodium-(Potassium)-chloride cotransporter	NA	NA
LOC101746688	Pass:	A0A8R1WH92	100	0	GO:0005681	C	spliceosomal complex	Bombyx mori	Pre-mRNA-processing factor 19	NA	NA
Nanoso	Pass:	A0A8R2QXF2	100	0	GO:0003723	F	RNA binding	Bombyx mori	Nanos-type domain-containing protein	NA	NA
LOC119631129	Fail:	A0A343WU90	84.706	5.199999999999999e-171	GO:0005739	C	mitochondrion	Bombyx mandarina	NADH-ubiquinone oxidoreductase chain 2	NA	NA
LOC119631066	Fail:	A0A6J3C388	64.526	4.849999999999999e-168	GO:0005794	C	Golgi apparatus	Galleria mellonella	Fucosyltransferase	NA	NA
CTL6	Fail:	A0A8S1APC0	63.347	1.25e-114	GO:0005509	F	calcium ion binding	Arctia plantaginis	Uncharacterized protein	NA	NA
LOC101741003	Pass:	A0A6J2KDQ0	99.634	0	GO:0006508	P	proteolysis	Bombyx mandarina	Cytosol aminopeptidase domain-containing protein	NA	NA
LOC101737901	Pass:	A0A2A4JUI7	73.185	0	GO:0004674	F	protein serine/threonine kinase activity	Heliothis virescens	Kinase suppressor of Ras 2	NA	NA
LOC101735893	Pass:	A0A8J9USQ0	78.167	0	GO:0000139	C	Golgi membrane	Brenthis ino	Polypeptide N-acetylgalactosaminyltransferase	NA	NA
UGT33R2	Pass:	G9LPT3	88.022	0	GO:0008194	F	UDP-glycosyltransferase activity	Bombyx mori	UDP-glycosyltransferase UGT33R1	NA	NA
LOC101736651	Pass:	A0A7E5V926	77.075	0	GO:0016020	C	membrane	Trichoplusia ni	Mannosyltransferase	NA	NA
jheh-lp5	Pass:	A0A8T9VVC3	65.727	0	GO:0005789	C	endoplasmic reticulum membrane	Mythimna separata	Epoxide hydrolase	NA	NA
LOC101743966	Pass:	A0A6J1N3U5	77.083	0	GO:0007156	P	homophilic cell adhesion via plasma membrane adhesion molecules	Bicyclus anynana	Cadherin domain-containing protein	NA	NA
LOC101738839	Pass:	A0A821WBA2	67.857	0	GO:0016020	C	membrane	Pieris macdunnoughi	ZP domain-containing protein	NA	NA
LOC101741191	Pass:	A0A7E5W177	77.282	0	GO:0030414	F	peptidase inhibitor activity	Trichoplusia ni	Neurogenic locus notch homolog protein 1-like isoform X1	NA	NA
LOC101741118	Pass:	A0A7I1A3J8	66.933	0	GO:0038023	F	signaling receptor activity	Danaus plexippus plexippus	Glutamate receptor 1-like	NA	NA
LOC101740063	Fail:	A0A8S0YNA0	69.658	1.8e-114	GO:0005634	C	nucleus	Arctia plantaginis	Methyl-CpG-binding domain protein 4	NA	NA
LOC101746805	Pass:	A0A8R2M071	98.367	0	GO:0005886	C	plasma membrane	Bombyx mori	Sensory neuron membrane protein 2	NA	NA
LOC101736450	Pass:	A0A2A4JIV7	66.914	0	GO:0110165	C	cellular anatomical entity	Heliothis virescens	Apyrase	NA	NA
LOC101746756	Pass:	A0A7E5VYZ8	80.931	0	GO:0006511	P	ubiquitin-dependent protein catabolic process	Trichoplusia ni	E3 ubiquitin-protein ligase	NA	NA
LOC101745843	Pass:	A0A6J2JHI8	100	0	GO:0005741	C	mitochondrial outer membrane	Bombyx mandarina	Metaxin-2-like isoform X1	NA	NA
LOC101737334	Fail:	A0A835GGM9	87.368	8.33e-127	GO:0008138	F	protein tyrosine/serine/threonine phosphatase activity	Spodoptera exigua	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	NA	NA
LOC101740160	Pass:	A0A835GNP8	74.198	0	GO:0008289	F	lipid binding	Spodoptera exigua	Sterol regulatory element-binding protein cleavage-activating protein	NA	NA
AnnIX	Pass:	A0A1E1WHP3	93.808	0	GO:0005544	F	calcium-dependent phospholipid binding	Pectinophora gossypiella	Annexin	NA	NA
LOC101743927	Pass:	A0A8R2M120	100	0	GO:0008270	F	zinc ion binding	Bombyx mori	Brain tumor protein	NA	NA
LOC101741516	Pass:	A0A835G5C8	56.66	0	GO:0016020	C	membrane	Spodoptera exigua	Methyltransferase domain-containing protein	NA	NA
LOC119630103	Pass:	A0A8R2M6C0	100	0	GO:0071897	P	DNA biosynthetic process	Bombyx mori	RNA-directed DNA polymerase	NA	NA
LOC101745162	Pass:	A0A8B8I4R6	98.462	0	GO:0016020	C	membrane	Vanessa tameamea	Cyclic nucleotide-binding domain-containing protein	NA	NA
LOC101745213	Fail:	A0A7I0ZHS0	71.053	1.0399999999999998e-145	GO:0016020	C	membrane	Danaus plexippus plexippus	Phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein	NA	NA
LOC101740174	Pass:	A0A6J2K5P7	99.898	0	GO:0005634	C	nucleus	Bombyx mandarina	E3 ubiquitin-protein ligase TRIM33 isoform X2	NA	NA
LOC101743840	Fail:	A0A6J2K0M5	99.58	2.6399999999999993e-176	GO:0061507	F	2',3'-cyclic GMP-AMP binding	Bombyx mandarina	Poxin-like	NA	NA
LOC101741527	Pass:	A0A8R2MB75	100	0	GO:0006355	P	regulation of DNA-templated transcription	Bombyx mori	BHLH domain-containing protein	NA	NA
LOC101743752	Fail:	A0A8S3WZQ4	53.184	2.8299999999999993e-101	GO:0006633	P	fatty acid biosynthetic process	Parnassius apollo	Elongation of very long chain fatty acids protein	NA	NA
LOC101746001	Pass:	A0A8R2DM68	100	0	GO:0016787	F	hydrolase activity	Bombyx mori	N-acyl-aliphatic-L-amino acid amidohydrolase	NA	NA
LOC119630794	Pass:	A0A8R2HSD9	98.694	0	GO:0022857	F	transmembrane transporter activity	Bombyx mori	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC110385267	Pass:	A0A212ELY4	71.897	0	GO:0003779	F	actin binding	Danaus plexippus plexippus	Putative unconventional myosin 95e	NA	NA
LOC101741860	Pass:	A0A2W1BGW3	77.331	0	GO:0004672	F	protein kinase activity	Helicoverpa armigera	Serine/threonine-protein kinase receptor	NA	NA
LOC101744255	Fail:	A0A8S4QYB1	96.889	2.7499999999999996e-159	GO:0006974	P	DNA damage response	Pararge aegeria aegeria	ATP-dependent DNA helicase	NA	NA
LOC101737015	Pass:	A0A8R2C5C2	100	0	GO:0005524	F	ATP binding	Bombyx mori	Serine/threonine-protein kinase PLK4	NA	NA
LOC101746680	Pass:	A0A6J2K482	95.614	0	GO:0005886	C	plasma membrane	Bombyx mandarina	Sodium/hydrogen exchanger	NA	NA
LOC101747094	Pass:	A0A7E5WNM2	89.474	0	GO:0016307	F	phosphatidylinositol phosphate kinase activity	Trichoplusia ni	PIPK domain-containing protein	NA	NA
LOC101737480	Pass:	A0A6J1WLA1	71.667	0	GO:0008484	F	sulfuric ester hydrolase activity	Galleria mellonella	Sulfatase N-terminal domain-containing protein	NA	NA
LOC101742709	Pass:	A0A8S4GCN0	83.673	0	GO:0016020	C	membrane	Plutella xylostella	Amino acid transporter transmembrane domain-containing protein	NA	NA
LOC101746251	Pass:	A0A835GB17	67.789	0	GO:0004812	F	aminoacyl-tRNA ligase activity	Spodoptera exigua	arginine--tRNA ligase	NA	NA
LOC101740626	Pass:	A0A8R2QZU5	98.548	0	GO:0055085	P	transmembrane transport	Bombyx mori	Cyclic nucleotide-binding domain-containing protein	NA	NA
LOC101746835	Fail:	A0A8S3XHH2	48.511	8.969999999999998e-161	GO:0016020	C	membrane	Parnassius apollo	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC101746970	Pass:	A0A6J2K8R8	96.953	0	GO:0000166	F	nucleotide binding	Bombyx mandarina	Protein kinase domain-containing protein	NA	NA
LOC101742491	Fail:	A0A8R2G7W1	100	2.0399999999999998e-109	GO:0016604	C	nuclear body	Bombyx mori	DAZ-associated protein 2	NA	NA
LOC101741546	Pass:	A0A8R2LWN3	99.149	0	GO:0005524	F	ATP binding	Bombyx mori	G protein-coupled receptor kinase	NA	NA
RpL26	Fail:	Q5UAR3	100	1.34e-105	GO:0005840	C	ribosome	Bombyx mori	KOW domain-containing protein	NA	NA
_Bre4	Pass:	G1UHW5	99.286	0	GO:0005975	P	carbohydrate metabolic process	Bombyx mori	Beta-1,4-N-acetylgalactosaminyltransferase	NA	NA
LOC101736121	Pass:	A0A8R2AGD4	100	0	GO:0003684	F	damaged DNA binding	Bombyx mori	Ku domain-containing protein	NA	NA
LOC105842328	Pass:	A0A821Q215	60.044	0	GO:0005506	F	iron ion binding	Pieris macdunnoughi	Fatty acid hydroxylase domain-containing protein	NA	NA
LOC101737442	Pass:	A0A6J2KFV1	99.583	0	GO:0009887	P	animal organ morphogenesis	Bombyx mandarina	Talin-1 isoform X2	NA	NA
Mek	Pass:	A0A6J1W9M7	98.759	0	GO:0006468	P	protein phosphorylation	Galleria mellonella	Protein kinase domain-containing protein	NA	NA
